tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
12/1/2018,60,26,27,112,17,112,O3,3,DKI3
12/2/2018,73,36,22,132,21,132,O3,3,DKI2
12/3/2018,65,31,21,97,20,97,O3,2,DKI2
12/4/2018,64,24,31,71,21,71,O3,2,DKI1
12/5/2018,62,25,33,81,22,81,O3,2,DKI5
12/6/2018,61,27,33,94,17,94,O3,2,DKI3
12/7/2018,59,40,29,134,15,134,O3,3,DKI3
12/8/2018,68,25,30,134,27,134,O3,3,DKI2
12/9/2018,60,25,25,104,19,104,O3,3,DKI2
12/10/2018,68,24,32,137,19,137,O3,3,DKI2
12/11/2018,82,26,50,123,34,123,O3,3,DKI2
12/12/2018,58,26,31,214,22,214,O3,4,DKI2
12/13/2018,52,26,24,117,26,117,O3,3,DKI2
12/14/2018,50,24,21,92,18,92,O3,2,DKI3
12/15/2018,37,24,16,47,6,47,O3,1,DKI2
12/16/2018,46,25,11,63,9,63,O3,2,DKI2
12/17/2018,41,30,12,128,12,128,O3,3,DKI2
12/18/2018,51,27,16,160,14,160,O3,3,DKI2
12/19/2018,62,27,24,195,19,195,O3,3,DKI2
12/20/2018,55,27,24,97,18,97,O3,2,DKI3
12/21/2018,41,25,19,64,17,64,O3,2,DKI3
12/22/2018,58,32,21,66,18,66,O3,2,DKI3
12/23/2018,48,26,19,44,21,48,PM10,1,DKI1
12/24/2018,34,24,9,45,5,45,O3,1,DKI3
12/25/2018,29,24,7,70,4,70,O3,2,DKI3
12/26/2018,31,25,7,69,5,69,O3,2,DKI3
12/27/2018,29,25,15,55,6,55,O3,2,DKI1
12/28/2018,33,24,7,63,3,63,O3,2,DKI1
12/29/2018,30,24,6,50,8,50,O3,1,DKI3
12/30/2018,48,12,6,53,4,53,O3,2,DKI3
12/31/2018,44,18,6,43,4,44,PM10,1,DKI3
2/1/2018,44,43,37,73,13,73,O3,2,DKI5
2/2/2018,47,45,56,68,12,68,O3,2,DKI3
2/3/2018,42,44,35,59,12,59,O3,2,DKI5
2/4/2018,35,47,35,57,12,57,O3,2,DKI5
2/5/2018,31,46,32,66,9,66,O3,2,DKI5
2/6/2018,45,48,71,75,16,75,O3,2,DKI5
2/7/2018,42,50,60,89,14,89,O3,2,DKI5
2/8/2018,55,49,62,89,22,89,O3,2,DKI5
2/9/2018,53,24,88,65,14,88,CO,2,DKI5
2/10/2018,43,24,52,58,16,58,O3,2,DKI5
2/11/2018,48,25,39,56,12,56,O3,2,DKI5
2/12/2018,50,21,56,70,12,70,O3,2,DKI5
2/13/2018,57,21,32,75,13,75,O3,2,DKI5
2/14/2018,60,22,27,80,17,80,O3,2,DKI5
2/15/2018,55,22,63,58,15,63,CO,2,DKI5
2/16/2018,22,22,23,68,14,68,O3,2,DKI5
2/17/2018,53,24,23,48,14,53,PM10,2,DKI4
2/18/2018,40,23,23,80,9,80,O3,2,DKI5
2/19/2018,45,24,20,65,14,65,O3,2,DKI5
2/20/2018,52,32,35,62,14,62,O3,2,DKI5
2/21/2018,57,26,22,66,26,66,O3,2,DKI2
2/22/2018,53,26,66,47,19,66,CO,2,DKI5
2/23/2018,64,26,88,61,14,88,CO,2,DKI5
2/24/2018,47,23,22,76,11,76,O3,2,DKI3
2/25/2018,48,26,20,91,11,91,O3,2,DKI5
2/26/2018,46,25,33,80,15,80,O3,2,DKI5
2/27/2018,47,25,42,64,17,64,O3,2,DKI3
2/28/2018,56,28,56,80,16,80,O3,2,DKI3
3/1/2018,72,24,40,126,19,126,O3,3,DKI5
3/2/2018,51,29,34,146,17,146,O3,3,DKI2
3/3/2018,62,30,37,109,18,109,O3,3,DKI5
3/4/2018,60,30,64,194,19,194,O3,3,DKI5
3/5/2018,61,23,48,79,20,79,O3,2,DKI5
3/6/2018,64,28,30,103,16,103,O3,3,DKI3
3/7/2018,66,26,48,76,21,76,O3,2,DKI3
3/8/2018,55,29,47,107,22,107,O3,3,DKI5
3/9/2018,59,30,59,81,27,81,O3,2,DKI5
3/10/2018,60,25,27,54,12,60,PM10,2,DKI3
3/11/2018,56,25,18,63,10,63,O3,2,DKI5
3/12/2018,39,24,20,46,9,46,O3,1,DKI5
3/13/2018,49,28,20,61,8,61,O3,2,DKI3
3/14/2018,62,31,20,89,11,89,O3,2,DKI3
3/15/2018,68,37,24,136,30,136,O3,3,DKI2
3/16/2018,75,30,20,191,15,191,O3,3,DKI5
3/17/2018,71,32,24,155,20,155,O3,3,DKI5
3/18/2018,72,31,54,195,14,195,O3,3,DKI5
3/19/2018,50,27,21,156,15,156,O3,3,DKI5
3/20/2018,51,29,23,202,22,202,O3,4,DKI5
3/21/2018,62,25,31,87,14,87,O3,2,DKI2
3/22/2018,30,25,18,51,9,51,O3,2,DKI3
3/23/2018,75,44,49,94,21,94,O3,2,DKI5
3/24/2018,66,30,23,55,17,66,PM10,2,DKI1
3/25/2018,36,24,16,64,19,64,O3,2,DKI2
3/26/2018,51,27,24,90,19,90,O3,2,DKI2
3/27/2018,41,24,20,94,7,94,O3,2,DKI2
3/28/2018,75,31,42,195,26,195,O3,3,DKI2
3/29/2018,71,34,26,129,19,129,O3,3,DKI2
3/30/2018,56,30,34,105,30,105,O3,3,DKI2
3/31/2018,39,48,15,67,8,67,O3,2,DKI5
4/1/2018,45,25,17,57,13,57,O3,2,DKI5
4/2/2018,46,27,18,57,19,57,O3,2,DKI5
4/3/2018,50,26,27,80,26,80,O3,2,DKI5
4/4/2018,45,28,20,96,28,96,O3,2,DKI5
4/5/2018,81,37,29,202,18,202,O3,4,DKI5
4/6/2018,56,29,21,144,12,144,O3,3,DKI5
4/7/2018,68,31,29,74,12,74,O3,2,DKI3
4/8/2018,45,28,16,51,12,51,O3,2,DKI3
4/9/2018,53,33,20,85,11,85,O3,2,DKI3
4/10/2018,52,36,19,66,15,66,O3,2,DKI3
4/11/2018,71,33,23,92,13,92,O3,2,DKI3
4/12/2018,69,58,16,57,14,69,PM10,2,DKI2
4/13/2018,54,56,16,121,11,121,O3,3,DKI5
4/14/2018,51,22,21,141,12,141,O3,3,DKI5
4/15/2018,59,27,23,168,13,168,O3,3,DKI5
4/16/2018,65,33,27,185,18,185,O3,3,DKI5
4/17/2018,63,26,24,142,16,142,O3,3,DKI5
4/18/2018,81,29,26,80,23,81,PM10,2,DKI4
4/19/2018,86,27,33,133,22,133,O3,3,DKI5
4/20/2018,76,24,30,92,18,92,O3,2,DKI5
4/21/2018,73,26,43,162,25,162,O3,3,DKI5
4/22/2018,70,26,29,117,18,117,O3,3,DKI5
4/23/2018,51,22,30,84,16,84,O3,2,DKI5
4/24/2018,61,23,33,90,34,90,O3,2,DKI5
4/25/2018,69,23,37,48,18,69,PM10,2,DKI1
4/26/2018,71,30,34,56,25,71,PM10,2,DKI1
4/27/2018,62,23,22,48,16,62,PM10,2,DKI2
4/28/2018,57,25,23,96,16,96,O3,2,DKI5
4/29/2018,67,23,26,120,18,120,O3,3,DKI5
4/30/2018,78,24,29,89,22,89,O3,2,DKI4
5/1/2018,73,25,19,101,18,101,O3,3,DKI5
5/2/2018,88,25,22,183,18,183,O3,3,DKI5
5/3/2018,103,27,23,166,20,166,O3,3,DKI5
5/4/2018,91,27,46,164,23,164,O3,3,DKI5
5/5/2018,78,26,27,137,17,137,O3,3,DKI5
5/6/2018,70,26,17,109,15,109,O3,3,DKI5
5/7/2018,68,27,17,77,16,77,O3,2,DKI5
5/8/2018,79,26,21,204,17,204,O3,4,DKI5
5/9/2018,93,27,21,156,20,156,O3,3,DKI5
5/10/2018,73,25,18,107,15,107,O3,3,DKI5
5/11/2018,74,27,16,83,18,83,O3,2,DKI5
5/12/2018,103,27,29,144,21,144,O3,3,DKI5
5/13/2018,96,26,26,131,14,131,O3,3,DKI5
5/14/2018,87,26,20,178,13,178,O3,3,DKI5
5/15/2018,94,27,25,143,17,143,O3,3,DKI5
5/16/2018,87,28,23,151,16,151,O3,3,DKI5
5/17/2018,65,25,19,80,16,80,O3,2,DKI3
5/18/2018,78,26,26,86,11,86,O3,2,DKI5
5/19/2018,59,24,13,102,10,102,O3,3,DKI5
5/20/2018,61,25,29,98,12,98,O3,2,DKI5
5/21/2018,60,25,20,185,16,185,O3,3,DKI5
5/22/2018,58,25,14,80,10,80,O3,2,DKI5
5/23/2018,58,26,12,74,12,74,O3,2,DKI5
5/24/2018,42,25,12,94,10,94,O3,2,DKI5
5/25/2018,66,26,22,92,11,92,O3,2,DKI5
5/26/2018,71,29,24,119,13,119,O3,3,DKI5
5/27/2018,62,26,23,156,10,156,O3,3,DKI5
5/28/2018,81,24,55,120,33,120,O3,3,DKI2
5/29/2018,84,31,21,118,20,118,O3,3,DKI5
5/30/2018,86,25,24,191,20,191,O3,3,DKI5
5/31/2018,83,28,21,183,20,183,O3,3,DKI2
6/1/2018,75,27,30,115,15,115,O3,3,DKI5
6/2/2018,78,26,14,86,18,86,O3,2,DKI5
6/3/2018,82,26,16,145,17,145,O3,3,DKI5
6/4/2018,73,27,11,125,19,125,O3,3,DKI5
6/5/2018,69,26,13,146,14,146,O3,3,DKI5
6/6/2018,78,26,16,133,13,133,O3,3,DKI5
6/7/2018,79,25,21,179,18,179,O3,3,DKI5
6/8/2018,68,27,16,162,17,162,O3,3,DKI5
6/9/2018,100,27,39,167,22,167,O3,3,DKI5
6/10/2018,75,27,28,203,17,203,O3,4,DKI2
6/11/2018,74,27,14,169,14,169,O3,3,DKI2
6/12/2018,67,26,18,161,13,161,O3,3,DKI2
6/13/2018,64,25,30,163,16,163,O3,3,DKI5
6/14/2018,56,25,18,144,7,144,O3,3,DKI5
6/15/2018,60,26,21,161,8,161,O3,3,DKI2
6/16/2018,61,37,31,139,17,139,O3,3,DKI2
6/17/2018,49,27,11,88,8,88,O3,2,DKI5
6/18/2018,51,27,10,75,10,75,O3,2,DKI5
6/19/2018,60,26,13,97,10,97,O3,2,DKI5
6/20/2018,73,26,16,86,10,86,O3,2,DKI5
6/21/2018,51,27,11,70,5,70,O3,2,DKI5
6/22/2018,66,28,17,94,13,94,O3,2,DKI5
6/23/2018,81,27,14,77,10,81,PM10,2,DKI4
6/24/2018,50,25,15,110,10,110,O3,3,DKI5
6/25/2018,35,25,14,100,11,100,O3,2,DKI5
6/26/2018,56,26,43,107,23,107,O3,3,DKI2
6/27/2018,60,26,23,136,19,136,O3,3,DKI5
6/28/2018,69,27,24,146,10,146,O3,3,DKI5
6/29/2018,73,28,18,213,20,213,O3,4,DKI5
6/30/2018,67,30,17,193,15,193,O3,3,DKI2
7/1/2018,96,28,27,205,20,205,O3,4,DKI5
7/2/2018,79,29,28,142,20,142,O3,3,DKI5
7/3/2018,79,29,23,166,16,166,O3,3,DKI2
7/4/2018,104,31,24,209,19,209,O3,4,DKI2
7/5/2018,63,29,16,123,13,123,O3,3,DKI5
7/6/2018,74,31,16,113,19,113,O3,3,DKI5
7/7/2018,95,32,32,104,24,104,O3,3,DKI5
7/8/2018,95,29,32,111,22,111,O3,3,DKI2
7/9/2018,69,29,17,116,17,116,O3,3,DKI5
7/10/2018,87,29,19,124,16,124,O3,3,DKI2
7/11/2018,73,32,17,129,20,129,O3,3,DKI2
7/12/2018,74,32,16,117,18,117,O3,3,DKI5
7/13/2018,80,30,17,107,18,107,O3,3,DKI2
7/14/2018,84,33,19,117,19,117,O3,3,DKI2
7/15/2018,63,29,14,129,11,129,O3,3,DKI2
7/16/2018,61,33,14,222,18,222,O3,4,DKI5
7/17/2018,81,30,20,205,19,205,O3,4,DKI5
7/18/2018,88,29,25,208,20,208,O3,4,DKI5
7/19/2018,82,30,19,188,19,188,O3,3,DKI5
7/20/2018,79,30,16,113,18,113,O3,3,DKI5
7/21/2018,74,32,14,151,16,151,O3,3,DKI5
7/22/2018,77,29,22,166,15,166,O3,3,DKI5
7/23/2018,63,25,23,191,22,191,O3,3,DKI5
7/24/2018,92,32,23,184,22,184,O3,3,DKI5
7/25/2018,75,29,23,153,17,153,O3,3,DKI5
7/26/2018,78,33,22,168,20,168,O3,3,DKI5
7/27/2018,86,31,19,197,18,197,O3,3,DKI5
7/28/2018,92,32,31,234,20,234,O3,4,DKI5
7/29/2018,77,30,23,202,20,202,O3,4,DKI5
7/30/2018,92,31,23,174,27,174,O3,3,DKI5
7/31/2018,79,29,22,156,21,156,O3,3,DKI5
8/1/2018,86,31,21,129,24,129,O3,3,DKI5
8/2/2018,68,31,18,207,20,207,O3,4,DKI5
8/3/2018,68,32,16,211,17,211,O3,4,DKI2
8/4/2018,59,31,16,194,16,194,O3,3,DKI5
8/5/2018,65,35,14,203,16,203,O3,4,DKI2
8/6/2018,71,34,13,202,23,202,O3,4,DKI2
8/7/2018,79,35,21,162,25,162,O3,3,DKI5
8/8/2018,92,33,28,144,29,144,O3,3,DKI5
8/9/2018,75,37,22,186,18,186,O3,3,DKI5
8/10/2018,65,33,18,165,17,165,O3,3,DKI2
8/11/2018,69,31,17,126,19,126,O3,3,DKI3
8/12/2018,77,31,20,127,15,127,O3,3,DKI5
8/13/2018,66,30,14,134,14,134,O3,3,DKI5
8/14/2018,74,31,19,151,13,151,O3,3,DKI5
8/15/2018,62,30,15,185,16,185,O3,3,DKI5
8/16/2018,72,31,17,140,15,140,O3,3,DKI5
8/17/2018,62,31,15,154,13,154,O3,3,DKI5
8/18/2018,62,30,14,143,14,143,O3,3,DKI5
8/19/2018,79,32,20,149,13,149,O3,3,DKI5
8/20/2018,80,30,19,101,11,101,O3,3,DKI5
8/21/2018,73,32,16,122,11,122,O3,3,DKI3
8/22/2018,62,31,16,164,9,164,O3,3,DKI5
8/23/2018,62,30,17,161,16,161,O3,3,DKI5
8/24/2018,81,32,22,110,18,110,O3,3,DKI5
8/25/2018,76,31,19,202,13,202,O3,4,DKI5
8/26/2018,75,30,16,131,12,131,O3,3,DKI5
8/27/2018,79,31,20,166,13,166,O3,3,DKI5
8/28/2018,83,31,17,182,13,182,O3,3,DKI5
8/29/2018,67,30,16,161,13,161,O3,3,DKI5
8/30/2018,85,31,17,153,16,153,O3,3,DKI2
8/31/2018,65,30,18,130,11,130,O3,3,DKI5
9/1/2018,68,29,20,145,13,145,O3,3,DKI5
9/2/2018,73,30,20,136,11,136,O3,3,DKI5
9/3/2018,62,37,23,175,24,175,O3,3,DKI5
9/4/2018,52,37,22,217,24,217,O3,4,DKI5
9/5/2018,53,31,15,140,24,140,O3,3,DKI5
9/6/2018,82,44,25,148,17,148,O3,3,DKI5
9/7/2018,69,33,21,147,10,147,O3,3,DKI5
9/8/2018,51,33,19,175,16,175,O3,3,DKI5
9/9/2018,81,34,30,126,16,126,O3,3,DKI5
9/10/2018,69,33,20,132,12,132,O3,3,DKI5
9/11/2018,63,33,16,102,11,102,O3,3,DKI5
9/12/2018,61,32,16,164,13,164,O3,3,DKI2
9/13/2018,70,46,19,190,13,190,O3,3,DKI5
9/14/2018,62,44,18,233,17,233,O3,4,DKI2
9/15/2018,68,37,17,196,23,196,O3,3,DKI2
9/16/2018,82,34,15,119,11,119,O3,3,DKI2
9/17/2018,62,33,17,83,14,83,O3,2,DKI5
9/18/2018,64,32,18,141,11,141,O3,3,DKI5
9/19/2018,58,34,16,85,11,85,O3,2,DKI5
9/20/2018,70,34,19,77,12,77,O3,2,DKI5
9/21/2018,80,33,34,75,12,80,PM10,2,DKI4
9/22/2018,58,33,25,157,13,157,O3,3,DKI5
9/23/2018,84,33,29,130,14,130,O3,3,DKI5
9/24/2018,69,33,25,152,21,152,O3,3,DKI5
9/25/2018,78,32,31,197,16,197,O3,3,DKI5
9/26/2018,94,50,26,202,21,202,O3,4,DKI5
9/27/2018,72,37,21,146,18,146,O3,3,DKI5
9/28/2018,70,33,22,194,17,194,O3,3,DKI5
9/29/2018,62,33,21,165,15,165,O3,3,DKI5
9/30/2018,63,32,20,145,11,145,O3,3,DKI5
10/1/2018,92,33,17,124,12,124,O3,3,DKI5
10/2/2018,76,41,22,88,21,88,O3,2,DKI5
10/3/2018,70,32,20,144,11,144,O3,3,DKI5
10/4/2018,73,32,24,109,11,109,O3,3,DKI5
10/5/2018,67,34,18,146,13,146,O3,3,DKI5
10/6/2018,70,33,21,123,12,123,O3,3,DKI5
10/7/2018,87,34,22,128,12,128,O3,3,DKI5
10/8/2018,66,34,19,185,12,185,O3,3,DKI5
10/9/2018,62,34,19,173,11,173,O3,3,DKI5
10/10/2018,79,36,24,190,18,190,O3,3,DKI5
10/11/2018,81,36,17,149,13,149,O3,3,DKI5
10/12/2018,77,35,22,118,16,118,O3,3,DKI5
10/13/2018,64,35,20,189,25,189,O3,3,DKI2
10/14/2018,86,35,20,138,16,138,O3,3,DKI5
10/15/2018,73,33,19,119,12,119,O3,3,DKI5
10/16/2018,74,33,23,210,19,210,O3,4,DKI5
10/17/2018,75,34,23,217,19,217,O3,4,DKI5
10/18/2018,72,36,20,207,22,207,O3,4,DKI5
10/19/2018,66,30,23,146,17,146,O3,3,DKI5
10/20/2018,57,31,18,212,14,212,O3,4,DKI5
10/21/2018,65,33,22,139,17,139,O3,3,DKI5
10/22/2018,71,28,21,150,12,150,O3,3,DKI5
10/23/2018,44,26,19,148,16,148,O3,3,DKI2
10/24/2018,73,35,31,139,21,139,O3,3,DKI2
10/25/2018,67,30,25,97,19,97,O3,2,DKI5
10/26/2018,67,29,20,119,21,119,O3,3,DKI2
10/27/2018,77,26,26,104,11,104,O3,3,DKI3
10/28/2018,43,23,20,90,16,90,O3,2,DKI3
10/29/2018,49,25,24,85,13,85,O3,2,DKI3
10/30/2018,61,31,25,104,10,104,O3,3,DKI3
10/31/2018,57,27,20,97,15,97,O3,2,DKI3
11/1/2018,74,27,35,95,16,95,O3,2,DKI2
11/2/2018,50,26,21,85,13,85,O3,2,DKI3
11/3/2018,76,29,24,173,14,173,O3,3,DKI2
11/4/2018,56,26,31,110,18,110,O3,3,DKI5
11/5/2018,56,24,23,101,17,101,O3,3,DKI3
11/6/2018,53,28,20,122,12,122,O3,3,DKI2
11/7/2018,59,28,26,96,30,96,O3,2,DKI5
11/8/2018,63,32,24,89,21,89,O3,2,DKI3
11/9/2018,61,24,22,98,16,98,O3,2,DKI3
11/10/2018,60,24,36,166,19,166,O3,3,DKI3
11/11/2018,71,40,35,104,16,104,O3,3,DKI3
11/12/2018,66,24,31,144,15,144,O3,3,DKI2
11/13/2018,66,23,31,129,23,129,O3,3,DKI2
11/14/2018,60,23,25,65,17,65,O3,2,DKI2
11/15/2018,40,23,20,51,8,51,O3,2,DKI2
11/16/2018,54,31,22,234,16,234,O3,4,DKI2
11/17/2018,65,36,18,145,16,145,O3,3,DKI2
11/18/2018,59,28,22,120,16,120,O3,3,DKI3
11/19/2018,81,25,31,90,17,90,O3,2,DKI3
11/20/2018,56,25,21,94,16,94,O3,2,DKI2
11/21/2018,66,31,21,163,22,163,O3,3,DKI2
11/22/2018,69,26,25,129,20,129,O3,3,DKI2
11/23/2018,66,27,26,203,22,203,O3,4,DKI2
11/24/2018,61,24,38,193,22,193,O3,3,DKI2
11/25/2018,57,25,21,77,15,77,O3,2,DKI3
11/26/2018,73,24,26,90,20,90,O3,2,DKI3
11/27/2018,63,24,28,126,19,126,O3,3,DKI3
11/28/2018,63,26,22,109,17,109,O3,3,DKI2
11/29/2018,62,27,33,76,26,76,O3,2,DKI3
11/30/2018,53,24,20,131,15,131,O3,3,DKI3
12/1/2018,60,26,27,112,17,112,O3,3,DKI3
12/2/2018,73,36,22,132,21,132,O3,3,DKI2
12/3/2018,65,31,21,97,20,97,O3,2,DKI2
12/4/2018,64,24,31,71,21,71,O3,2,DKI1
12/5/2018,62,25,33,81,22,81,O3,2,DKI5
12/6/2018,61,27,33,94,17,94,O3,2,DKI3
12/7/2018,59,40,29,134,15,134,O3,3,DKI3
12/8/2018,68,25,30,134,27,134,O3,3,DKI2
12/9/2018,60,25,25,104,19,104,O3,3,DKI2
12/10/2018,68,24,32,137,19,137,O3,3,DKI2
12/11/2018,82,26,50,123,34,123,O3,3,DKI2
12/12/2018,58,26,31,214,22,214,O3,4,DKI2
12/13/2018,52,26,24,117,26,117,O3,3,DKI2
12/14/2018,50,24,21,92,18,92,O3,2,DKI3
12/15/2018,37,24,16,47,6,47,O3,1,DKI2
12/16/2018,46,25,11,63,9,63,O3,2,DKI2
12/17/2018,41,30,12,128,12,128,O3,3,DKI2
12/18/2018,51,27,16,160,14,160,O3,3,DKI2
12/19/2018,62,27,24,195,19,195,O3,3,DKI2
12/20/2018,55,27,24,97,18,97,O3,2,DKI3
12/21/2018,41,25,19,64,17,64,O3,2,DKI3
12/22/2018,58,32,21,66,18,66,O3,2,DKI3
12/23/2018,48,26,19,44,21,48,PM10,1,DKI1
12/24/2018,34,24,9,45,5,45,O3,1,DKI3
12/25/2018,29,24,7,70,4,70,O3,2,DKI3
12/26/2018,31,25,7,69,5,69,O3,2,DKI3
12/27/2018,29,25,15,55,6,55,O3,2,DKI1
12/28/2018,33,24,7,63,3,63,O3,2,DKI1
12/29/2018,30,24,6,50,8,50,O3,1,DKI3
12/30/2018,48,12,6,53,4,53,O3,2,DKI3
12/31/2018,44,18,6,43,4,44,PM10,1,DKI3
